Gene_name	Gene_symbol	TairAliases	ShortDescription	ComputationalDescription
AT4G36930	SPT	SPT	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	basic helix-loop-helix (bHLH) DNA-binding superfamily protein;(source:Araport11)
AT1G70320	UPL2	UPL2	ubiquitin-protein ligase 2	ubiquitin-protein ligase 2;(source:Araport11)
AT1G21250	WAK1	AtWAK1, PRO25, WAK1	cell wall-associated kinase	cell wall-associated kinase;(source:Araport11)
AT5G02580	AT5G02580	BGH2, PEL2, RPGE1	Plant protein 1589 of unknown function	argininosuccinate lyase;(source:Araport11)
AT2G37860	LCD1	LCD1, RE	Protein of unknown function (DUF3411)	reticulata-like protein, putative (DUF3411);(source:Araport11)
AT1G03060	SPI	BCHA1, SPI	Beige/BEACH domain ;WD domain, G-beta repeat protein	BEACH-DOMAIN HOMOLOG A1;(source:Araport11)
AT5G44260	AT5G44260	AtC3H61, AtTZF5, TZF5	Zinc finger C-x8-C-x5-C-x3-H type family protein	Zinc finger C-x8-C-x5-C-x3-H type family protein;(source:Araport11)
AT5G15680	AT5G15680		ARM repeat superfamily protein	ARM repeat superfamily protein;(source:Araport11)
AT1G67120	AT1G67120	AtMDN1, MDN1	ATPases;nucleotide binding;ATP binding;nucleoside-triphosphatases;transcription factor binding	midasin-like protein;(source:Araport11)
AT4G02660	AT4G02660	BCHA2	Beige/BEACH domain ;WD domain, G-beta repeat protein	Beige/BEACH and WD40 domain-containing protein;(source:Araport11)
AT5G23110	AT5G23110		Zinc finger, C3HC4 type (RING finger) family protein	Zinc finger, C3HC4 type (RING finger) family protein;(source:Araport11)
AT1G15780	NRB4	AtMed15a, MED15_1, NRB4	NULL	mediator of RNA polymerase II transcription subunit 15a-like protein;(source:Araport11)
AT1G67870	AT1G67870		glycine-rich protein	glycine-rich protein;(source:Araport11)
AT4G15530	PPDK	PPDK	pyruvate orthophosphate dikinase	pyruvate orthophosphate dikinase;(source:Araport11)
