serial	gene_name	short_description	Curator_summary	Computational_description
1	AT1G02205		Expression of the CER1 gene associated with production of stem epicuticular wax and pollen fertility. Biochemical studies showed that cer1 mutants are blocked in the conversion of stem wax C30 aldehydes to C29 alkanes, and they also lack the secondary alcohols and ketones. These suggested the CER1 protein is an aldehyde decarbonylase, but the exact molecular function of this protein remains to be determined.	Fatty acid hydroxylase superfamily;(source:Araport11)
2	AT1G02850	beta glucosidase 11		beta glucosidase 11;(source:Araport11)
3	AT1G03060		Encodes a WD/BEACH domain protein involved in cell morphogenesis and ribonucleoprotein particle formation.  It interacts with the P-body core component DCP2, associates to mRNA processing bodies (P-bodies), and regulates their assembly upon salt stress. It accumulates at the root hair apex via post-Golgi compartments and positively regulates tip growth by maintaining tip-focused vesicle secretion and filamentous-actin integrity.	BEACH-DOMAIN HOMOLOG A1;(source:Araport11)
4	AT1G03370			C2 calcium/lipid-binding and GRAM domain containing protein;(source:Araport11)
5	AT1G03380	homolog of yeast autophagy 18 (ATG18) G		yeast autophagy 18 G-like protein;(source:Araport11)
6	AT1G05570		Encodes a callose synthase 1 catalytic subunit . Member of Glycosyltransferase Family- 48.	callose synthase 1;(source:Araport11)
7	AT1G05630		Encodes an inositol polyphosphate 5-phosphatase with phosphatase activity toward only Ins(1,4,5)P3.  Induced in response to ABA and wounding treatments. Expressed in young seedlings and flowers, while no transcripts were detectable in maturated roots, stems, and rosette leaves Modulates the development of cotyledon veins through its regulation of auxin homeostasis. Involved in blue light light?stimulated  increase in cytosolic calcium ion.	Endonuclease/exonuclease/phosphatase family protein;(source:Araport11)
8	AT1G06080		Encodes a protein homologous to delta 9 acyl-lipid desaturases of cyanobacteria and acyl-CoA desaturases of yeast and mammals. expression down-regulated by cold temperature.  It is involved in the desaturation of VLCFAs to make monounsaturated VLCFAs.	delta 9 desaturase 1;(source:Araport11)
9	AT1G06670		nuclear DEIH-box helicase (NIH) encoding a putative RNA and/or DNA helicase homologous to a group of nucleic acid helicases from the DEAD/H family with nuclear DEIH-box helicase (NIH) distinct N- and C-terminal regions that differ from animal DEIH proteinsThe mRNA is cell-to-cell mobile.	nuclear DEIH-boxhelicase;(source:Araport11)
10	AT1G07370	proliferating cellular nuclear antigen 1	Encodes putative proliferating cell nuclear antigen involved in cell cycle regulation. May be sumoylated.	proliferating cellular nuclear antigen 1;(source:Araport11)
